Unnamed: 0,Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaires minimum,Salaires maximum
436,chef de projet,2023-01-25,paris,"python, sql, outils, data management, business intelligence, excel","
datatorii
","cdi
 ",45000.0,55000.0
437,data engineer,2023-01-18,paris,"python, sql, test, hadoop, java, scala, web, excel, etl","
sciam
","cdd
 ",48000.0,60000.0
444,data analyst,2023-01-17,,"big data, saas, data management, machine learning, git","
l2c
",nan,70000.0,85000.0
458,directeur projet  data et computer vision   commercial ,2023-01-17,paris,agile,"
geoffre charbonnel cecile yolande
","cdi
 ",47000.0,63000.0
462,data analyst,2023-01-26,arcueil,"python, sql, outils, marketing, git, support, power bi, excel, crm","
aquantis
","cdi
 ",40000.0,50000.0
467,tech lead data gcp   informatique de gestion ,2023-01-17,boulogne billancourt,"python, git, crm","
geser best
","cdi
 ",35000.0,45000.0
472,"adjoint au chef de département data   système, réseaux, données ",2023-01-17,paris,"python, outils, machine learning, réseaux, tableau, moa","
île-de-france mobilités
","cdd
 ",35000.0,72000.0
484,consultant,2023-01-16,bobigny,"data management, data quality","
gfi informatique
","cdd
 ",40000.0,58000.0
488,data analyst,2023-01-16,courbevoie,"big data, outils, excel","
dekra personnel france
","cdi
 ",35000.0,45000.0
490,data analyst,2023-01-16,montrouge,"sql, agile, outils, marketing, bases de données, power bi, sql server, ios","
datavalue consulting
","cdi
 ",38000.0,45000.0
493,pmo data   informatique de gestion ,2023-01-16,paris,"outils, communication, git, support, ios","
citech
","cdi
 ",40000.0,55000.0
494,pmo data   informatique de gestion ,2023-01-16,paris,"outils, communication, git, support, ios","
citech
","cdi
 ",40000.0,55000.0
508,data analyst,2023-01-13,wissous,"outils, qlik, tableau, qlikview, excel","
michael page international france
","cdd
 ",40000.0,45000.0
515,ingenieur,2023-01-13,rosny sous bois,"python, sql, outils, nosql, hadoop, machine learning, java, scala, cloud, spark","
general de gaulle
","cdd
 ",33000.0,38000.0
518,"ingénieure big data   système, réseaux, données ",2023-01-13,paris,"python, big data, hadoop, java, scala, linux, spark","
cgilanum
","cdi
 ",45000.0,55000.0
519,expert,2023-01-13,boulogne billancourt,"agile, test, recette, outils, communication, validation, réseaux, windows, oracle, network, linux, sécurité, ios","
davidson
","cdi
 ",45000.0,75000.0
537,business analyst,2023-01-13,montrouge,"python, machine learning, data quality","
mp
","cdi
 ",70000.0,75000.0
538,ingénieur software data r&d ,2023-01-13,montrouge,"agile, machine learning, etl","
mp
","cdi
 ",70000.0,80000.0
539,expert,2023-01-13,puteaux,"communication, data management, support, web, etl","
mp
","cdd
 ",60000.0,65000.0
540,manager,2023-01-13,pantin,"outils, support, cloud, sécurité, excel","
mp
","cdi
 ",70000.0,85000.0
541,data analyst,2023-01-13,,"outils, excel","
mp
",nan,40000.0,46000.0
542,manager,2023-01-13,bobigny,"outils, support, cloud, sécurité, excel","
mp
","cdi
 ",70000.0,85000.0
543,chef de projet,2023-01-13,corbeil essonnes,"data management, git, bases de données, salesforce","
mp
","cdi
 ",43000.0,48000.0
544,data analyst,2023-01-13,,"test, outils, bases de données, support, sap, tableau","
mp
",nan,40000.0,45000.0
545,responsable,2023-01-13,bobigny,"big data, outils, communication, marketing, validation, scrum","
mp
","cdi
 ",55000.0,65000.0
546,business analyst,2023-01-13,,"marketing, support, excel","
mp
",nan,155988.0,207984.0
547,manager,2023-01-13,,"sql, git, bases de données, web, qlik, sécurité, talend, etl","
mp
",nan,48000.0,50000.0
548,ingénieur big data ,2023-01-13,,"sql, test, big data, support, sas, excel, ios, etl","
mp
",nan,45000.0,60000.0
