Intitulé du poste,Date de publication,lieu,competences,Nom de la société,Type de contrat,Salaire minimum,Salaire maximum,origine
chef de projet,2023-01-15,boulogne billancourt,"reseaux sociaux,reseaux,outils,acquisition,jquery",francaise des jeux,stage,,,patrick
ingenieur,2022-12-30,fontenay sous bois,"si,java,support,angularjs,outils",societe generale,cdi,,,patrick
developpeur,2022-12-15,paris,"digital,ios,android,swift,web",kisio,cdi,,,patrick
developpeur,2022-12-15,paris,"digital,c++,devops,python,web",kisio,cdi,,,patrick
expert,2023-01-14,paris,"middleware,weblogic,unix,support,tomcat",uniware global services,cdi,40000.0,60000.0,patrick
expert,2022-12-22,ile de france,"si,securite,data management,securite,reseau",grtgaz,cdi,,,patrick
consultant,2022-12-19,paris,"sas,digital,dataiku",business & decision,cdi,,,patrick
stage,2022-12-29,ile de france,"support,python,sql,hadoop,big data",safran-group,stage,,,patrick
stage,2023-01-08,ile de france,"plm,outils,systeme,cloud,communication",dassault aviation,stage,,,patrick
architecte,2022-12-15,paris,"outils,swift,android,si,unix",paris&co,cdi,,,patrick
data analyst,2022-12-21,saint ouen,"support,sap,cloud,agile,middleware",danone,cdi,,,patrick
stage,2022-12-18,paris,"marketing,iaas,paas,saas",cegid,stage,,,patrick
technical leader,2023-01-05,fontenay sous bois,"hadoop,agile,maintenance,scala,systeme",societe generale,cdi,,,patrick
consultant,2023-01-02,ile de france,"cloud,unix,aix,ux,support",vinci,cdi,,,patrick
chef de projet,2023-01-15,paris,"marketing,optimisation,c,exchange,digital",cdiscount,cdi,,,patrick
ingenieur,2023-01-12,paris,"linux,unix,systeme,infrastructure,support",uniware global services,cdi,38000.0,55000.0,patrick
ingenieur,2022-12-29,ile de france,"test,linux,windows,securite,securite",safran-group,cdi,,,patrick
ingenieur,2022-12-15,paris,"digital,support,devops,web,android",kisio,cdi,,,patrick
correspondante a la protection des donnees personnelles,2022-12-24,la defense,"communication,outils,digital",societe generale,cdi,,,patrick
apprenti,2023-01-09,paris,"marketing,digital,agile,outils,database",air france,contrat d'apprentissage,,,patrick
ingenieur,2022-12-29,ile de france,"outils,qt,c++,linux,windows",safran-group,cdi,,,patrick
responsable,2022-12-15,paris,"web,spring,si,securite,digital",mr search,cdi,65000.0,70000.0,patrick
ingenieur,2023-01-01,bagneux,"java,support,outils,c++,systeme",naval group,cdi,,,patrick
data scientist,2022-12-18,nanterre,"reseau,machine learning,outils,sas,big data",edf france,contrat de professionnalisation,,,patrick
ingenieur,2022-12-25,saint germain en laye,"java,outils,decisionnel,t-sql,sql",trimane,stage,,,patrick
data analyst,2023-01-02,ile de france,"sap,communication,outils,business intelligence,systeme",vinci,cdi,,,patrick
assistante comptable,2023-01-09,fontenay sous bois,,societe generale,cdi,,,patrick
specialiste,2023-01-05,velizy villacoublay,"outils,systeme",groupe psa,cdi,,,patrick
responsable,2022-12-29,la defense,"digital,communication,support,reseau",societe generale,cdi,,,patrick
ingenieur,2022-12-18,paris,"iaas,paas,saas,systeme,progiciel",cegid,cdi,,,patrick
stage,2022-12-29,ile de france,"test,support",safran-group,stage,,,patrick
ingenieur,2023-01-07,ile de france,"securite,securite,c++,reseaux,validation",safran-group,cdi,,,patrick
concepteur,2023-01-01,bagneux,"java,systeme,serveur,outils,uml",naval group,cdi,,,patrick
chef de projet,2022-12-26,ile de france,"recette,outils,e-commerce,support",printemps,cdi,,,patrick
chef de projet,2022-12-26,paris,"recette,e-commerce,outils,marketing,support",printemps,cdi,,,patrick
concepteur,2023-01-01,bagneux,"java,systeme",naval group,cdi,,,patrick
manager,2023-01-15,ile de france,"support,outils,progiciel,si,securite",natixis,cdi,,,patrick
